tv,radio,newspaper,sales
0.7757862698681096,0.7620967741935483,0.605980650835532,0.8070866141732284
0.14812309773419008,0.7923387096774193,0.3940193491644679,0.3464566929133858
0.05579979709164694,0.9254032258064515,0.6068601583113455,0.3031496062992126
0.5099763273588097,0.8326612903225805,0.5118733509234827,0.6653543307086615
0.6090632397700373,0.21774193548387097,0.5109938434476692,0.4448818897637795
0.02705444707473791,0.9858870967741935,0.6569920844327176,0.2204724409448819
0.19208657423063918,0.6612903225806451,0.20404573438874227,0.4015748031496063
0.40412580317889757,0.3951612903225807,0.0993843447669305,0.45669291338582674
0.026716266486303687,0.04233870967741936,0.006156552330694811,0.12598425196850394
0.6733175515725399,0.05241935483870968,0.18381706244503074,0.3543307086614173
0.22117010483598243,0.11693548387096774,0.21020228671943708,0.2755905511811023
0.7237064592492392,0.4838709677419355,0.03254177660510114,0.6220472440944881
0.07811971592830573,0.7076612903225806,0.5769569041336851,0.2992125984251968
0.3273588096043287,0.15322580645161288,0.06068601583113455,0.3188976377952756
0.6878593168752114,0.6633064516129031,0.40193491644678975,0.6850393700787402
0.658437605681434,0.9616935483870968,0.46262093227792433,0.8188976377952755
0.22691917483936425,0.7379032258064516,0.9999999999999999,0.42913385826771655
0.9492729117348665,0.7983870967741935,0.4881266490765171,0.8976377952755905
0.2316537030774434,0.4133064516129032,0.15831134564643798,0.3818897637795276
0.4957727426445723,0.4818548387096774,0.16534740545294635,0.5118110236220472
0.7362191410213055,0.5584677419354839,0.46701846965699206,0.6456692913385826
0.800473452823808,0.10282258064516128,0.20404573438874227,0.42913385826771655
0.04227257355427799,0.32056451612903225,0.4335971855760774,0.1574803149606299
0.7696990192762937,0.3407258064516129,0.22779243623570797,0.547244094488189
0.20831924247548192,0.2540322580645161,0.15831134564643798,0.3188976377952756
0.8867095028745351,0.07056451612903225,0.1688654353562005,0.4094488188976378
0.4808927967534664,0.5907258064516129,0.10817941952506595,0.5275590551181102
0.8096043287115321,0.33669354838709675,0.19876868953386098,0.562992125984252
0.8390260399053096,0.5463709677419355,0.19876868953386098,0.6811023622047243
0.2363882313155225,0.3225806451612903,0.35620052770448546,0.35039370078740156
